Date,Open,High,Low,Close,Adj Close,Volume
2017-01-31,4350.540039,4360.029785,4337.529785,4359.810059,4359.810059,0
2017-02-01,4373.649902,4380.410156,4348.529785,4362.100098,4362.100098,0
2017-02-02,4356.890137,4370.770020,4347.689941,4364.850098,4364.850098,0
2017-02-03,4379.959961,4398.580078,4378.720215,4396.950195,4396.950195,0
2017-02-06,4390.970215,4394.600098,4380.040039,4387.669922,4387.669922,0
2017-02-07,4394.209961,4400.959961,4383.299805,4388.870117,4388.870117,0
2017-02-08,4383.520020,4395.689941,4375.589844,4393.310059,4393.310059,0
2017-02-09,4398.009766,4425.500000,4398.009766,4419.399902,4419.399902,0
2017-02-10,4428.089844,4441.399902,4425.890137,4435.419922,4435.419922,0
2017-02-13,4447.319824,4466.180176,4446.759766,4459.830078,4459.830078,0
2017-02-14,4457.020020,4478.979980,4449.490234,4478.979980,4478.979980,0
2017-02-15,4475.799805,4505.919922,4474.399902,4501.990234,4501.990234,0
2017-02-16,4503.189941,4506.370117,4482.609863,4498.560059,4498.560059,0
2017-02-17,4490.580078,4506.200195,4484.080078,4506.200195,4506.200195,0
2017-02-21,4513.390137,4535.990234,4513.390137,4533.459961,4533.459961,0
2017-02-22,4525.689941,4533.330078,4520.379883,4528.970215,4528.970215,0
2017-02-23,4538.470215,4539.919922,4514.680176,4531.390137,4531.390137,0
2017-02-24,4516.979980,4539.250000,4511.649902,4539.250000,4539.250000,0
2017-02-27,4535.839844,4547.919922,4529.399902,4544.509766,4544.509766,0
2017-02-28,4537.609863,4540.870117,4523.990234,4532.930176,4532.930176,0
2017-03-01,4565.379883,4605.270020,4565.379883,4595.729980,4595.729980,0
2017-03-02,4593.790039,4593.790039,4565.899902,4569.169922,4569.169922,0
2017-03-03,4567.390137,4573.060059,4556.819824,4571.600098,4571.600098,0
2017-03-06,4556.569824,4563.410156,4542.680176,4556.720215,4556.720215,0
2017-03-07,4548.250000,4556.560059,4538.220215,4543.750000,4543.750000,0
2017-03-08,4547.790039,4554.049805,4530.990234,4534.680176,4534.680176,0
2017-03-09,4535.709961,4546.439941,4518.600098,4538.359863,4538.359863,0
2017-03-10,4553.129883,4561.459961,4535.020020,4553.279785,4553.279785,0
2017-03-13,4552.770020,4558.029785,4546.939941,4556.439941,4556.439941,0
2017-03-14,4547.200195,4547.200195,4527.330078,4541.259766,4541.259766,0
2017-03-15,4550.790039,4588.500000,4548.140137,4579.439941,4579.439941,0
2017-03-16,4584.310059,4584.959961,4564.169922,4572.160156,4572.160156,0
2017-03-17,4576.649902,4580.410156,4565.009766,4566.169922,4566.169922,0
2017-03-20,4566.279785,4568.720215,4549.839844,4557.120117,4557.120117,0
2017-03-21,4568.759766,4573.680176,4496.950195,4500.979980,4500.979980,0
2017-03-22,4499.180176,4516.060059,4486.609863,4509.649902,4509.649902,0
2017-03-23,4504.939941,4529.770020,4498.009766,4504.919922,4504.919922,0
2017-03-24,4513.479980,4524.509766,4485.430176,4501.109863,4501.109863,0
2017-03-27,4472.560059,4502.879883,4459.500000,4496.529785,4496.529785,0
2017-03-28,4493.120117,4539.189941,4488.970215,4529.169922,4529.169922,0
2017-03-29,4526.189941,4539.270020,4519.319824,4535.009766,4535.009766,0
