Date,Open,High,Low,Close,Adj Close,Volume
2019-04-25,160.520004,161.600006,158.550003,161.020004,160.272629,8862500
2019-04-26,161.259995,163.029999,160.399994,162.929993,162.173752,7525400
2019-04-29,163.210007,164.500000,163.100006,164.149994,163.388092,10003600
2019-04-30,164.979996,165.699997,163.919998,164.429993,163.666779,6432700
2019-05-01,165.539993,165.740005,162.750000,162.789993,162.034409,5248100
2019-05-02,162.100006,163.080002,160.429993,161.119995,160.372147,6054900
2019-05-03,162.300003,162.740005,161.179993,162.039993,161.287903,4317500
2019-05-06,158.210007,162.649994,158.199997,162.279999,161.526764,10442400
2019-05-07,160.949997,161.779999,158.679993,160.210007,159.466385,6413600
2019-05-08,159.770004,161.699997,159.520004,160.759995,160.013809,5445900
2019-05-09,158.860001,159.850006,157.169998,159.809998,159.068237,6813700
2019-05-10,158.860001,161.399994,157.270004,160.710007,159.964066,5192500
2019-05-13,157.190002,158.720001,156.419998,157.330002,156.599762,9730000
2019-05-14,158.100006,161.520004,157.940002,160.210007,159.466385,9756700
2019-05-15,159.320007,163.160004,159.100006,162.789993,162.034409,7547000
2019-05-16,163.449997,165.600006,162.860001,164.869995,164.357162,9745500
2019-05-17,163.289993,165.199997,163.199997,164.089996,163.579590,4582500
2019-05-20,163.350006,164.740005,162.330002,163.470001,162.961517,4747400
2019-05-21,164.580002,164.860001,163.190002,163.860001,163.350296,9095700
2019-05-22,163.600006,165.630005,163.449997,164.240005,163.729141,5416400
2019-05-23,163.500000,164.250000,160.820007,161.509995,161.007599,6138000
2019-05-24,162.750000,163.410004,161.720001,162.639999,162.134109,4105600
2019-05-28,163.399994,165.770004,163.330002,163.710007,163.200790,10202300
2019-05-29,163.300003,163.500000,161.479996,162.729996,162.223816,6456000
2019-05-30,162.800003,163.500000,161.940002,162.759995,162.253708,4750600
2019-05-31,160.910004,162.130005,160.559998,161.330002,160.828171,5079000
2019-06-03,161.539993,162.830002,156.750000,158.600006,158.106674,8034600
2019-06-04,160.289993,162.369995,158.649994,162.330002,161.825073,6684800
2019-06-05,163.500000,165.399994,162.690002,165.389999,164.875549,7769300
2019-06-06,165.880005,167.399994,164.940002,166.919998,166.400772,13738500
2019-06-07,168.000000,171.610001,167.800003,170.050003,169.521057,10528800
2019-06-10,171.839996,172.020004,170.509995,170.820007,170.288666,7565900
2019-06-11,171.949997,172.179993,168.419998,170.309998,169.780228,6082900
2019-06-12,170.380005,171.619995,169.699997,171.589996,171.056244,6756200
2019-06-13,172.139999,172.199997,168.720001,169.350006,168.823227,6901400
2019-06-14,169.770004,170.639999,168.839996,169.660004,169.132263,4999900
2019-06-17,169.729996,170.419998,169.029999,169.559998,169.032562,6410200
2019-06-18,170.649994,170.669998,167.550003,169.279999,168.753448,6969300
2019-06-19,169.389999,171.199997,169.210007,170.690002,170.159058,6323900
2019-06-20,172.509995,173.940002,171.750000,173.740005,173.199570,11474100
2019-06-21,173.270004,174.809998,173.160004,173.440002,172.900513,11728200
2019-06-24,174.600006,174.729996,172.720001,173.850006,173.309235,5554900
2019-06-25,174.809998,174.940002,170.589996,171.279999,170.747223,9899900
2019-06-26,171.389999,172.389999,170.820007,171.059998,170.527908,7129900
2019-06-27,172.119995,172.399994,170.320007,171.229996,170.697372,5873400
2019-06-28,171.960007,173.550003,170.520004,173.550003,173.010162,8442700
2019-07-01,175.330002,175.539993,172.740005,173.940002,173.398956,6122000
2019-07-02,174.100006,175.320007,173.300003,175.279999,174.734772,5238100
2019-07-03,176.000000,176.990005,175.720001,176.869995,176.319824,4066600
2019-07-05,175.860001,177.029999,174.509995,176.660004,176.110489,5840400
2019-07-08,176.300003,176.610001,175.399994,176.190002,175.641953,6720300
2019-07-09,175.429993,177.889999,175.300003,177.729996,177.177155,4894300
2019-07-10,178.580002,180.259995,178.580002,179.309998,178.752243,5110600
2019-07-11,180.119995,180.940002,179.460007,180.740005,180.177795,6986600
2019-07-12,181.350006,181.350006,178.919998,180.330002,179.769073,7196700
2019-07-15,180.559998,181.070007,179.940002,180.570007,180.008347,4490400
2019-07-16,180.369995,180.880005,178.729996,179.309998,178.752243,6800200
2019-07-17,179.559998,180.210007,179.009995,179.149994,178.592743,3994200
2019-07-18,178.630005,180.619995,178.580002,180.529999,179.968445,4738500
2019-07-19,181.839996,181.839996,179.139999,179.240005,178.682465,5327100
2019-07-22,179.639999,180.979996,179.139999,180.570007,180.008347,4862100
2019-07-23,180.889999,181.270004,179.059998,180.899994,180.337280,7193000
2019-07-24,180.789993,183.429993,179.250000,183.330002,182.759750,8169300
2019-07-25,183.869995,183.990005,181.300003,181.589996,181.025146,6085800
2019-07-26,182.410004,183.820007,182.210007,183.690002,183.118622,5056300
2019-07-29,183.889999,184.070007,182.729996,183.210007,182.640121,4621800
2019-07-30,182.539993,183.380005,181.270004,181.529999,180.965347,5236600
2019-07-31,181.789993,182.050003,176.059998,178.000000,177.446320,7933100
2019-08-01,179.190002,182.399994,178.169998,179.169998,178.612686,8417300
2019-08-02,178.000000,178.270004,174.690002,177.419998,176.868118,8264600
2019-08-05,172.009995,173.500000,166.979996,168.860001,168.334747,16858300
2019-08-06,171.789993,172.949997,170.130005,172.479996,171.943481,10281300
2019-08-07,171.500000,175.729996,170.339996,175.320007,174.774658,8292800
2019-08-08,177.460007,179.949997,176.570007,179.899994,179.340408,7602800
2019-08-09,179.669998,180.100006,177.850006,179.050003,178.493057,5373700
2019-08-12,177.440002,178.649994,175.600006,176.339996,175.791473,7394400
2019-08-13,174.389999,178.919998,174.210007,178.610001,178.054428,6667700
2019-08-14,176.240005,177.250000,173.160004,173.509995,172.970276,7293500
2019-08-15,174.259995,177.020004,173.520004,176.270004,175.975250,6698000
2019-08-16,178.000000,178.750000,177.199997,178.229996,177.931961,8312200
2019-08-19,180.419998,180.419998,178.119995,179.740005,179.439453,5285000
2019-08-20,179.429993,180.630005,178.490005,179.240005,178.940292,3793600
2019-08-21,180.690002,181.690002,180.240005,180.940002,180.637451,3695900
2019-08-22,181.949997,182.330002,178.610001,180.089996,179.788864,6659900
2019-08-23,179.550003,180.500000,174.240005,175.229996,174.936981,7051900
2019-08-26,176.410004,177.669998,175.350006,177.589996,177.293045,7754400
2019-08-27,178.320007,179.190002,176.940002,178.380005,178.081726,4022100
2019-08-28,176.990005,178.990005,176.029999,178.669998,178.371231,4401900
2019-08-29,180.399994,181.389999,179.309998,181.169998,180.867050,4679200
2019-08-30,181.990005,182.179993,179.669998,180.820007,180.517654,4061200
2019-09-03,180.520004,181.250000,179.100006,179.199997,178.900345,4644000
2019-09-04,180.899994,182.199997,180.050003,181.770004,181.466064,4154800
2019-09-05,183.729996,185.679993,183.380005,184.729996,184.421097,6386800
2019-09-06,184.740005,186.710007,184.550003,185.740005,185.429428,7990900
2019-09-09,186.919998,187.050003,179.509995,181.550003,181.246429,7290500
2019-09-10,179.410004,179.699997,173.809998,176.350006,176.055130,15255200
2019-09-11,177.399994,177.929993,174.449997,174.979996,174.687408,9113600
2019-09-12,176.850006,179.410004,176.679993,177.979996,177.682388,7748800
2019-09-13,178.649994,178.770004,176.020004,177.270004,176.973587,6103200
2019-09-16,176.169998,177.199997,175.509995,176.110001,175.815521,4253600
2019-09-17,176.830002,178.259995,175.039993,176.449997,176.154953,5924700
2019-09-18,177.089996,177.179993,172.830002,175.289993,174.996887,9542500
2019-09-19,176.199997,177.410004,175.610001,175.960007,175.665771,6964500
2019-09-20,177.399994,177.630005,173.949997,174.059998,173.768936,12820400
2019-09-23,172.899994,175.250000,172.789993,174.910004,174.617523,8803500
2019-09-24,176.110001,177.199997,173.399994,174.479996,174.188232,10039900
2019-09-25,173.800003,175.669998,172.389999,175.279999,174.986908,7797300
2019-09-26,175.649994,176.449997,174.610001,175.649994,175.356277,10419000
2019-09-27,176.699997,176.830002,172.360001,174.000000,173.709045,9212600
2019-09-30,174.169998,175.449997,172.009995,172.009995,171.722366,16464000
2019-10-01,173.020004,174.820007,172.820007,174.289993,173.998550,8146200
2019-10-02,172.639999,172.940002,168.589996,169.830002,169.546021,10596200
2019-10-03,169.910004,173.139999,168.630005,172.869995,172.580933,7242800
2019-10-04,174.679993,176.520004,174.440002,175.979996,175.685730,6027600
2019-10-07,174.660004,175.690002,173.800003,174.899994,174.607529,5248300
2019-10-08,173.570007,174.639999,171.880005,172.419998,172.131683,5336500
2019-10-09,174.110001,175.990005,173.639999,174.880005,174.587585,6277300
2019-10-10,173.889999,175.899994,173.589996,174.880005,174.587585,4762400
2019-10-11,176.869995,179.199997,176.850006,177.059998,176.763931,8754400
2019-10-14,177.380005,178.410004,177.110001,177.360001,177.063431,7240900
