Date,Open,High,Low,Close,Adj Close,Volume
2019-01-31,137.259995,145.190002,136.380005,143.750000,143.190781,21071300
2019-02-01,144.500000,146.789993,142.580002,144.729996,144.166962,15626200
2019-02-04,145.369995,150.679993,144.479996,149.179993,148.599640,13214800
2019-02-05,149.660004,151.429993,148.300003,149.949997,149.366653,13560600
2019-02-06,151.289993,155.600006,151.070007,153.000000,152.404785,17561600
2019-02-07,151.130005,151.220001,145.690002,147.419998,146.846512,15928000
2019-02-08,144.710007,148.600006,144.130005,148.169998,147.593582,11540100
2019-02-11,146.389999,148.580002,144.500000,146.449997,145.880264,12379500
2019-02-12,148.000000,151.800003,147.419998,151.169998,150.581909,14776500
2019-02-13,152.360001,155.830002,151.809998,152.880005,152.285278,15134300
2019-02-14,152.839996,155.669998,151.100006,154.529999,153.928833,20681600
2019-02-15,162.949997,163.869995,156.419998,157.339996,156.727921,37918700
2019-02-19,156.910004,159.889999,156.139999,156.639999,156.030640,13797300
2019-02-20,157.820007,161.259995,157.369995,158.550003,157.933182,13524700
2019-02-21,159.059998,160.050003,155.179993,155.770004,155.164017,11213700
2019-02-22,157.860001,159.949997,157.309998,159.190002,158.570724,10043500
2019-02-25,162.559998,165.279999,158.339996,158.690002,158.072662,16400500
2019-02-26,158.500000,160.759995,155.750000,157.100006,156.488846,12211600
2019-02-27,156.520004,157.589996,153.110001,155.410004,154.805420,12506400
2019-02-28,155.000000,155.899994,153.360001,154.259995,153.818253,8123600
2019-03-01,156.270004,158.149994,153.919998,156.449997,156.001984,8929700
2019-03-04,158.000000,158.919998,154.500000,156.779999,156.331039,10249800
2019-03-05,156.149994,158.059998,153.960007,156.520004,156.071793,9073100
2019-03-06,156.160004,156.500000,151.940002,152.050003,151.614578,10088100
2019-03-07,151.100006,151.490005,147.399994,149.259995,148.832565,11252600
2019-03-08,145.660004,151.070007,144.800003,150.639999,150.208618,10560400
2019-03-11,151.589996,162.059998,149.690002,161.139999,160.678558,21493200
2019-03-12,162.259995,164.389999,159.190002,162.520004,162.054611,14489400
2019-03-13,164.029999,169.800003,163.729996,168.619995,168.137131,19222500
2019-03-14,168.990005,169.470001,165.250000,165.559998,165.085892,12984600
2019-03-15,167.300003,171.529999,167.160004,169.809998,169.323730,16537100
2019-03-18,171.080002,173.250000,167.860001,168.949997,168.466187,12174800
2019-03-19,172.759995,177.500000,172.080002,175.710007,175.206833,21374300
2019-03-20,176.880005,179.029999,173.000000,174.399994,173.900589,17978700
2019-03-21,175.330002,185.000000,175.130005,183.940002,183.413254,20607800
2019-03-22,182.839996,184.800003,176.940002,177.500000,176.991699,18691100
2019-03-25,175.860001,178.449997,171.110001,173.779999,173.282349,13130300
2019-03-26,179.490005,181.750000,174.600006,176.869995,176.363495,17587700
2019-03-27,177.899994,179.770004,173.699997,176.500000,175.994568,11859300
2019-03-28,177.550003,179.899994,175.110001,177.250000,176.742416,12006600
2019-03-29,179.940002,180.539993,177.910004,179.559998,179.045807,11422400
2019-04-01,183.259995,183.500000,180.369995,182.279999,181.758011,12095600
2019-04-02,183.250000,184.789993,181.520004,183.000000,182.475937,11023000
2019-04-03,185.000000,191.000000,184.800003,188.619995,188.079865,19719500
2019-04-04,188.000000,189.970001,185.729996,188.259995,187.720886,11434400
2019-04-05,190.000000,191.649994,188.529999,190.949997,190.403183,12043600
2019-04-08,189.720001,192.800003,188.750000,191.789993,191.240784,10604800
2019-04-09,190.440002,190.889999,187.559998,189.259995,188.718018,10999300
2019-04-10,189.229996,193.139999,189.050003,192.100006,191.549911,11119300
2019-04-11,192.199997,193.470001,189.550003,191.539993,190.991486,9365000
2019-04-12,193.100006,193.259995,189.660004,190.009995,189.465881,11792700
2019-04-15,189.699997,189.899994,183.100006,184.699997,184.171066,11002300
2019-04-16,186.279999,188.970001,184.960007,188.210007,187.671036,9874100
2019-04-17,189.619995,190.460007,186.389999,187.289993,186.753662,8775100
2019-04-18,187.559998,188.929993,185.179993,186.300003,185.766510,9524700
2019-04-22,185.350006,189.100006,184.080002,188.470001,187.930283,6998400
2019-04-23,189.000000,191.929993,188.610001,190.669998,190.123978,8671400
2019-04-24,191.089996,192.809998,188.639999,191.169998,190.622559,7955100
2019-04-25,189.550003,190.449997,183.699997,186.910004,186.374756,12482400
2019-04-26,180.710007,180.889999,173.300003,178.089996,177.580002,21724700
2019-04-29,178.410004,180.449997,175.500000,179.330002,178.816483,9798000
2019-04-30,178.029999,182.029999,177.259995,181.000000,180.481689,9073000
2019-05-01,183.110001,184.809998,180.460007,180.470001,179.953217,8857000
2019-05-02,180.860001,184.869995,179.119995,183.190002,182.665405,9867100
2019-05-03,183.529999,183.929993,180.529999,183.009995,182.485931,8420600
2019-05-06,175.500000,180.339996,174.000000,179.850006,179.334976,10554400
2019-05-07,177.899994,177.899994,171.169998,173.110001,172.614273,13880500
2019-05-08,172.000000,177.149994,171.520004,173.919998,173.421967,10479200
2019-05-09,171.139999,171.529999,165.399994,170.190002,169.702652,16506200
2019-05-10,168.949997,171.589996,164.000000,168.820007,168.336578,14237500
2019-05-13,163.500000,164.429993,157.809998,158.449997,157.996246,16422800
2019-05-14,160.050003,163.460007,158.490005,162.039993,161.575974,13122000
2019-05-15,159.800003,161.050003,157.410004,159.580002,159.123016,12558000
2019-05-16,159.360001,161.910004,157.649994,160.190002,159.731277,19527200
2019-05-17,158.500000,163.710007,154.940002,156.529999,156.081757,25551700
2019-05-20,152.550003,154.770004,150.750000,151.750000,151.315445,14301600
2019-05-21,154.199997,155.699997,152.639999,155.059998,154.615967,9046200
2019-05-22,153.500000,154.550003,151.759995,152.199997,151.764160,8146700
2019-05-23,149.690002,149.690002,144.910004,147.320007,146.898132,14796100
2019-05-24,148.080002,149.500000,144.880005,145.149994,144.734344,8939600
